Time_ms, Audio_In, Audio_Out, Filter_State
0.224,  -2964881,   -649901,    2000000
0.225,  -2976717,   -608207,    2000000
0.227,  -2986137,   -566020,    2000000
0.228,  -2993132,   -523373,    2000000
0.229,  -2997697,   -480301,    2000000
0.231,  -2999828,   -436839,    2000000
0.232,  -2999524,   -393022,    2000000
0.234,  -2996784,   -348886,    2000000
0.235,  -2991611,   -304467,    2000000
0.236,  -2984009,   -259801,    2000000
0.238,  -2973984,   -214924,    2000000
0.239,  -2961545,   -169873,    2000000
0.241,  -2946701,   -124683,    2000000
0.242,  -2929465,    -79392,    2000000
0.243,  -2909850,    -34037,    2000000
0.245,  -2887872,     11346,    2000000
0.246,  -2863550,     56719,    2000000
0.248,  -2836903,    102047,    2000000
0.249,  -2807952,    147292,    2000000
0.250,  -2776722,    192417,    2000000
0.252,  -2743237,    237386,    2000000
0.253,  -2707525,    282162,    2000000
0.254,  -2669615,    326709,    2000000
0.256,  -2629537,    370991,    2000000
0.257,  -2587324,    414971,    2000000
0.259,  -2543011,    458615,    2000000
0.260,  -2496632,    501886,    2000000
0.261,  -2448227,    544750,    2000000
0.263,  -2397834,    587172,    2000000
0.264,  -2345494,    629117,    2000000
0.266,  -2291250,    670551,    2000000
0.267,  -2235145,    711440,    2000000
0.268,  -2177226,    751752,    2000000
0.270,  -2117539,    791454,    2000000
0.271,  -2056132,    830513,    2000000
0.273,  -1993056,    868897,    2000000
0.274,  -1928362,    906577,    2000000
0.275,  -1862103,    943520,    2000000
0.277,  -1794331,    979697,    2000000
0.278,  -1725103,   1015078,    2000000
0.279,  -1654474,   1049636,    2000000
0.281,  -1582501,   1083341,    2000000
0.282,  -1509244,   1116167,    2000000
0.284,  -1434761,   1148086,    2000000
0.285,  -1359114,   1179073,    2000000
0.286,  -1282363,   1209103,    2000000
0.288,  -1204571,   1238152,    2000000
0.289,  -1125801,   1266195,    2000000
0.291,  -1046116,   1293210,    2000000
0.292,   -965583,   1319174,    2000000
0.293,   -884265,   1344068,    2000000
0.295,   -802229,   1367871,    2000000
0.296,   -719543,   1390563,    2000000
0.298,   -636271,   1412126,    2000000
0.299,   -552484,   1432542,    2000000
0.300,   -468247,   1451796,    2000000
0.302,   -383631,   1469870,    2000000
0.303,   -298703,   1486751,    2000000
0.305,   -213533,   1502425,    2000000
0.306,   -128189,   1516880,    2000000
0.307,    -42741,   1530102,    2000000
0.309,     42741,   1542083,    2000000
0.310,    128189,   1552811,    2000000
0.311,    213533,   1562278,    2000000
0.313,    298703,   1570477,    2000000
0.314,    383631,   1577401,    2000000
0.316,    468247,   1583045,    2000000
0.317,    552484,   1587402,    2000000
0.318,    636271,   1590471,    2000000
0.320,    719543,   1592249,    2000000
0.321,    802229,   1592734,    2000000
0.323,    884265,   1591926,    2000000
0.324,    965583,   1589825,    2000000
0.325,   1046116,   1586434,    2000000
0.327,   1125800,   1581754,    2000000
0.328,   1204571,   1575790,    2000000
0.330,   1282363,   1568547,    2000000
0.331,   1359114,   1560030,    2000000
0.332,   1434761,   1550247,    2000000
0.334,   1509244,   1539205,    2000000
