Time_ms, Audio_In, Audio_Out, Filter_State
1.058,    985792,   1312783,          0
1.059,    904664,   1337946,          0
1.061,    822802,   1362024,          0
1.062,    740272,   1384995,          0
1.063,    657140,   1406842,          0
1.065,    573475,   1427547,          0
1.066,    489345,   1447092,          0
1.068,    404817,   1465463,          0
1.069,    319961,   1482644,          0
1.070,    234844,   1498621,          0
1.072,    149537,   1513381,          0
1.073,     64109,   1526913,          0
1.075,    -21371,   1539205,          0
1.076,   -106834,   1550247,          0
1.077,   -192210,   1560030,          0
1.079,   -277430,   1568547,          0
1.080,   -362425,   1575790,          0
1.082,   -447126,   1581754,          0
1.083,   -531464,   1586434,          0
1.084,   -615370,   1589825,          0
1.086,   -698777,   1591926,          0
1.087,   -781616,   1592734,          0
1.088,   -863821,   1592249,          0
1.090,   -945324,   1590471,          0
1.091,  -1026060,   1587402,          0
1.093,  -1105963,   1583045,          0
1.094,  -1184967,   1577401,          0
1.095,  -1263010,   1570477,          0
1.097,  -1340027,   1562278,          0
1.098,  -1415956,   1552811,          0
1.100,  -1490736,   1542083,          0
1.101,  -1564305,   1530102,          0
1.102,  -1636604,   1516880,          0
1.104,  -1707574,   1502426,          0
1.105,  -1777158,   1486751,          0
1.107,  -1845299,   1469870,          0
1.108,  -1911942,   1451796,          0
1.109,  -1977032,   1432542,          0
1.111,  -2040518,   1412126,          0
1.112,  -2102346,   1390563,          0
1.113,  -2162468,   1367871,          0
1.115,  -2220833,   1344068,          0
1.116,  -2277396,   1319175,          0
1.118,  -2332110,   1293210,          0
1.119,  -2384930,   1266195,          0
1.120,  -2435813,   1238152,          0
1.122,  -2484720,   1209103,          0
1.123,  -2531608,   1179073,          0
1.125,  -2576441,   1148086,          0
1.126,  -2619183,   1116167,          0
1.127,  -2659797,   1083341,          0
1.129,  -2698253,   1049636,          0
1.130,  -2734517,   1015078,          0
1.132,  -2768561,    979697,          0
1.133,  -2800358,    943520,          0
1.134,  -2829880,    906577,          0
1.136,  -2857105,    868897,          0
1.137,  -2882011,    830513,          0
1.139,  -2904576,    791454,          0
1.140,  -2924783,    751752,          0
1.141,  -2942616,    711440,          0
1.143,  -2958059,    670551,          0
1.144,  -2971100,    629117,          0
1.145,  -2981730,    587172,          0
1.147,  -2989938,    544750,          0
1.148,  -2995719,    501887,          0
1.150,  -2999067,    458615,          0
1.151,  -2999980,    414972,          0
1.152,  -2998458,    370991,          0
1.154,  -2994501,    326709,          0
1.155,  -2988113,    282162,          0
1.157,  -2979299,    237386,          0
1.158,  -2968066,    192417,          0
1.159,  -2954423,    147292,          0
1.161,  -2938381,    102047,          0
1.162,  -2919954,     56719,          0
1.164,  -2899155,     11346,          0
1.165,  -2876003,    -34037,          0
1.166,  -2850516,    -79392,          0
1.168,  -2822714,   -124683,          0
1.169,  -2792621,   -169873,    2000000
1.170,  -2760260,    214923,    2000000
1.172,  -2725658,    259800,    2000000
1.173,  -2688843,    304466,    2000000
1.175,  -2649845,    348885,    2000000
1.176,  -2608695,    393021,    2000000
1.177,  -2565428,    436838,    2000000
1.179,  -2520077,    480300,    2000000
1.180,  -2472681,    523371,    2000000
1.182,  -2423276,    566018,    2000000
1.183,  -2371905,    608206,    2000000
1.184,  -2318607,    649900,    2000000
1.186,  -2263427,    691066,    2000000
1.187,  -2206409,    731670,    2000000
1.189,  -2147600,    771681,    2000000
1.190,  -2087047,    811066,    2000000
1.191,  -2024800,    849791,    2000000
1.193,  -1960908,    887827,    2000000
1.194,  -1895425,    925142,    2000000
1.196,  -1828403,    961706,    2000000
1.197,  -1759896,    997489,    2000000
1.198,  -1689960,   1032462,    2000000
1.200,  -1618652,   1066597,    2000000
1.201,  -1546030,   1099866,    2000000
1.202,  -1472152,   1132241,    2000000
1.204,  -1397080,   1163698,    2000000
1.205,  -1320873,   1194210,    2000000
1.207,  -1243593,   1223752,    2000000
1.208,  -1165304,   1252300,    2000000
1.209,  -1086069,   1279832,    2000000
1.211,  -1005952,   1306325,    2000000
1.212,   -925018,   1331757,    2000000
1.214,   -843333,   1356107,    2000000
1.215,   -760963,   1379357,    2000000
1.216,   -677976,   1401487,    2000000
1.218,   -594438,   1422479,    2000000
1.219,   -510417,   1442315,    2000000
1.221,   -425983,   1460981,    2000000
1.222,   -341202,   1478461,    2000000
1.223,   -256144,   1494740,    2000000
1.225,   -170878,   1509806,    2000000
1.226,    -85474,   1523646,    2000000
1.227,         0,   1536248,    2000000
1.229,     85473,   1547604,    2000000
1.230,    170878,   1557703,    2000000
1.232,    256144,   1566537,    2000000
1.233,    341202,   1574099,    2000000
1.234,    425982,   1580383,    2000000
1.236,    510417,   1585384,    2000000
1.237,    594438,   1589098,    2000000
1.239,    677976,   1591522,    2000000
1.240,    760963,   1592653,    2000000
1.241,    843333,   1592492,    2000000
1.243,    925018,   1591037,    2000000
1.244,   1005951,   1588291,    2000000
1.246,   1086069,   1584255,    2000000
1.247,   1165304,   1578932,    2000000
1.248,   1243593,   1572328,    2000000
1.250,   1320872,   1564447,    2000000
1.251,   1397079,   1555296,    2000000
1.252,   1472152,   1544882,    2000000
1.254,   1546029,   1533214,    2000000
1.255,   1618652,   1520301,    2000000
1.257,   1689960,   1506154,    2000000
1.258,   1759895,   1490784,    2000000
1.259,   1828402,   1474203,    2000000
1.261,   1895425,   1456425,    2000000
1.262,   1960908,   1437465,    2000000
1.264,   2024800,   1417338,    2000000
1.265,   2087047,   1396060,    2000000
1.266,   2147600,   1373649,    2000000
1.268,   2206409,   1350122,    2000000
1.269,   2263427,   1325499,    2000000
1.271,   2318607,   1299800,    2000000
1.272,   2371905,   1273046,    2000000
1.273,   2423276,   1245258,    2000000
1.275,   2472681,   1216458,    2000000
1.276,   2520077,   1186672,    2000000
1.278,   2565428,   1155921,    2000000
1.279,   2608695,   1124233,    2000000
1.280,   2649845,   1091631,    2000000
1.282,   2688843,   1058143,    2000000
1.283,   2725658,   1023796,    2000000
1.284,   2760260,    988618,    2000000
1.286,   2792621,    952637,    2000000
1.287,   2822714,    915883,    2000000
1.289,   2850516,    878385,    2000000
1.290,   2876003,    840173,    2000000
1.291,   2899155,    801280,    2000000
1.293,   2919953,    761736,    2000000
1.294,   2938381,    721574,    2000000
1.296,   2954423,    680825,    2000000
1.297,   2968066,    639524,    2000000
1.298,   2979299,    597704,    2000000
1.300,   2988113,    555399,    2000000
1.301,   2994501,    512642,    2000000
1.303,   2998458,    469469,    2000000
1.304,   2999980,    425915,    2000000
1.305,   2999067,    382016,    2000000
1.307,   2995719,    337806,    2000000
1.308,   2989938,    293322,    2000000
1.309,   2981730,    248599,    2000000
1.311,   2971100,    203675,    2000000
1.312,   2958059,    158586,    2000000
1.314,   2942616,    113367,    2000000
1.315,   2924783,     68057,    2000000
1.316,   2904576,     22692,    2000000
1.318,   2882011,    -22692,    2000000
1.319,   2857105,    -68058,    2000000
1.321,   2829880,   -113368,    2000000
1.322,   2800358,   -158587,    2000000
1.323,   2768561,   -203676,    2000000
1.325,   2734517,   -248600,    2000000
1.326,   2698253,   -293323,    2000000
1.328,   2659797,   -337807,    2000000
1.329,   2619183,   -382017,    2000000
1.330,   2576441,   -425916,    2000000
1.332,   2531608,   -469470,    2000000
1.333,   2484720,   -512643,    2000000
1.335,   2435814,   -555399,    2000000
1.336,   2384930,   -597705,          0
1.337,   2332110,    639524,          0
1.339,   2277396,    680825,          0
1.340,   2220834,    721574,          0
1.341,   2162468,    761736,          0
1.343,   2102346,    801280,          0
1.344,   2040518,    840173,          0
1.346,   1977033,    878384,          0
1.347,   1911942,    915883,          0
1.348,   1845299,    952637,          0
1.350,   1777158,    988618,          0
1.351,   1707575,   1023796,          0
1.353,   1636604,   1058143,          0
1.354,   1564305,   1091631,          0
1.355,   1490736,   1124233,          0
1.357,   1415956,   1155921,          0
1.358,   1340027,   1186672,          0
1.360,   1263010,   1216458,          0
1.361,   1184967,   1245257,          0
1.362,   1105963,   1273046,          0
1.364,   1026060,   1299800,          0
1.365,    945324,   1325499,          0
1.366,    863821,   1350122,          0
1.368,    781616,   1373649,          0
1.369,    698777,   1396060,          0
1.371,    615370,   1417338,          0
1.372,    531464,   1437465,          0
1.373,    447126,   1456425,          0
1.375,    362426,   1474203,          0
1.376,    277431,   1490784,          0
1.378,    192210,   1506154,          0
1.379,    106834,   1520301,          0
1.380,     21371,   1533214,          0
1.382,    -64109,   1544882,          0
1.383,   -149537,   1555296,          0
1.385,   -234844,   1564447,          0
1.386,   -319960,   1572328,          0
1.387,   -404817,   1578932,          0
1.389,   -489345,   1584255,          0
1.390,   -573475,   1588291,          0
